vendor_id,vendor_name,category,contract_value,contract_start,contract_end,sla_breaches_90d,incidents_90d,compliance_flag,uptime_pct,financial_risk_score,risk_probability,risk_tier,vendor_exit_risk
V_1028,Vendor_29,Cloud,3256420,2023-12-20,2026-04-23,0,3,0,98.72,0.11,0.8,Medium,0
V_1029,Vendor_30,Cloud,725510,2024-08-12,2025-11-13,1,3,1,99.49,0.13,1.24,Medium,0
V_1030,Vendor_31,Logistics,3822811,2025-12-25,2028-11-29,0,2,1,100.0,0.32,0.73,Low,0
V_1031,Vendor_32,Finance,2186233,2024-12-22,2027-08-23,1,0,1,99.12,0.15,0.7,Low,0
V_1032,Vendor_33,Cloud,444540,2025-09-09,2028-05-19,1,2,1,98.97,0.17,1.12,Medium,0
V_1033,Vendor_34,Security,2303694,2025-01-23,2025-07-22,1,1,0,98.93,0.69,0.68,Low,0
V_1034,Vendor_35,Security,3388442,2023-12-17,2025-01-28,1,0,0,99.9,0.24,0.29,Low,0
V_1035,Vendor_36,Logistics,3345887,2024-10-05,2025-04-14,1,1,0,99.69,0.17,0.51,Low,0
V_1036,Vendor_37,IT Services,547562,2024-09-04,2025-07-25,1,1,0,97.69,0.73,0.87,Medium,0
V_1037,Vendor_38,Finance,3612737,2025-05-13,2028-04-03,0,1,0,98.08,0.56,0.54,Low,0
V_1038,Vendor_39,Cloud,50404,2023-10-19,2025-09-15,4,2,0,99.16,0.23,1.55,Medium,0
V_1039,Vendor_40,Cloud,4945207,2023-11-11,2024-06-11,1,1,0,100.0,0.19,0.47,Low,0
V_1040,Vendor_41,Security,3011293,2024-06-20,2025-03-01,0,0,0,99.25,0.66,0.18,Low,0
V_1041,Vendor_42,SaaS,2623619,2025-05-15,2026-04-25,2,1,0,100.0,0.42,0.74,Low,0
V_1042,Vendor_43,Logistics,711614,2023-12-20,2026-04-10,0,0,0,100.0,0.1,0.01,Low,0
V_1043,Vendor_44,Logistics,2000367,2025-11-19,2028-02-10,1,0,0,99.08,0.14,0.4,Low,0
V_1044,Vendor_45,SaaS,4094588,2025-11-07,2028-07-07,2,2,0,98.57,0.29,1.14,Medium,0
V_1045,Vendor_46,Finance,4633897,2025-12-22,2026-09-05,2,0,0,99.04,0.43,0.69,Low,0
V_1046,Vendor_47,Cloud,4676038,2024-09-21,2025-04-16,0,0,0,97.57,0.18,0.38,Low,0
V_1047,Vendor_48,IT Services,517010,2025-05-31,2026-03-15,2,1,0,96.72,0.21,1.21,Medium,0
V_1048,Vendor_49,Finance,1364532,2025-01-07,2026-04-20,0,0,0,99.89,0.45,0.06,Low,0
V_1049,Vendor_50,Cloud,718406,2025-05-21,2027-05-13,2,2,1,97.91,0.18,1.53,Medium,0
V_1050,Vendor_51,Logistics,3021820,2025-03-25,2027-06-27,0,0,0,100.0,0.06,0.01,Low,0
V_1051,Vendor_52,Finance,1100493,2025-09-02,2027-07-24,2,0,0,100.0,0.12,0.51,Low,0
V_1052,Vendor_53,Finance,4852116,2025-03-07,2026-04-26,3,1,0,100.0,0.28,0.98,Medium,0
V_1053,Vendor_54,Security,572244,2023-09-21,2025-04-01,2,2,0,99.38,0.22,1.02,Medium,0
V_1054,Vendor_55,SaaS,2558749,2023-10-21,2025-12-24,1,1,0,96.63,0.12,0.97,Medium,0
V_1055,Vendor_56,Finance,3852010,2024-11-25,2025-10-27,0,0,0,100.0,0.24,0.02,Low,0
V_1056,Vendor_57,IT Services,2350119,2024-02-23,2024-09-04,1,0,0,98.23,0.27,0.54,Low,0
V_1057,Vendor_58,Logistics,2742755,2026-01-08,2027-03-17,2,2,0,100.0,0.16,0.92,Medium,0
V_1058,Vendor_59,SaaS,550315,2023-11-12,2025-05-22,0,0,0,99.89,0.26,0.04,Low,0
V_1059,Vendor_60,Cloud,544592,2023-10-11,2025-10-26,1,1,0,99.71,0.35,0.53,Low,0
V_1060,Vendor_61,SaaS,1631530,2024-11-27,2026-05-07,1,1,0,98.63,0.14,0.67,Low,0
V_1061,Vendor_62,Security,1345302,2023-09-23,2024-06-12,2,1,0,100.0,0.28,0.73,Low,0
V_1062,Vendor_63,Finance,314223,2024-03-20,2025-06-27,2,1,0,100.0,0.39,0.74,Low,0
V_1063,Vendor_64,Security,3498678,2024-04-16,2026-12-21,2,4,0,98.97,0.2,1.47,Medium,0
V_1064,Vendor_65,Cloud,4722750,2025-06-04,2027-07-02,5,3,0,98.09,0.18,2.15,High,1
V_1065,Vendor_66,Logistics,4389235,2025-04-09,2027-09-05,3,1,0,99.7,0.13,1.01,Medium,0
V_1066,Vendor_67,Security,3316402,2024-09-06,2026-07-23,1,3,0,100.0,0.35,0.89,Medium,0
V_1067,Vendor_68,SaaS,830316,2025-10-02,2027-11-30,1,1,0,98.72,0.55,0.7,Low,0
V_1068,Vendor_69,Security,766756,2025-12-23,2028-09-22,1,0,0,100.0,0.14,0.26,Low,0
V_1069,Vendor_70,SaaS,1199947,2023-10-20,2025-04-14,0,0,0,98.26,0.4,0.3,Low,0
V_1070,Vendor_71,Finance,758662,2024-05-06,2026-08-27,2,0,0,98.14,0.49,0.83,Medium,0
V_1071,Vendor_72,Security,2771864,2024-02-06,2025-05-26,3,0,1,100.0,0.27,1.08,Medium,0
V_1072,Vendor_73,Logistics,666036,2025-12-06,2028-08-28,0,2,0,99.57,0.24,0.49,Low,0
V_1073,Vendor_74,Cloud,4431137,2025-10-22,2027-01-12,0,2,0,100.0,0.37,0.44,Low,0
V_1074,Vendor_75,Cloud,2489855,2023-10-02,2025-08-09,3,1,0,97.09,0.37,1.42,Medium,0
V_1075,Vendor_76,SaaS,726022,2025-01-20,2025-08-26,1,1,0,98.92,0.23,0.63,Low,0
V_1076,Vendor_77,SaaS,509297,2024-12-01,2026-02-04,5,1,0,100.0,0.36,1.49,Medium,0
V_1077,Vendor_78,Security,2179885,2024-03-01,2024-08-30,1,2,0,100.0,0.31,0.68,Low,0
V_1078,Vendor_79,Security,2900171,2024-02-09,2026-10-22,4,1,1,100.0,0.58,1.56,Medium,0
V_1079,Vendor_80,Cloud,1076553,2025-05-05,2028-04-06,1,4,0,98.2,0.29,1.35,Medium,0
V_1080,Vendor_81,Finance,4959384,2024-06-18,2027-06-12,2,0,0,98.9,0.33,0.7,Low,0
V_1081,Vendor_82,Finance,1775690,2025-07-27,2027-09-16,2,2,1,100.0,0.4,1.24,Medium,0
V_1082,Vendor_83,Logistics,2416610,2025-02-17,2026-01-30,1,0,0,99.48,0.12,0.34,Low,0
V_1083,Vendor_84,Logistics,520452,2024-03-20,2026-03-20,0,2,0,98.86,0.58,0.63,Low,0
V_1084,Vendor_85,SaaS,4013735,2025-01-19,2027-05-23,0,0,0,100.0,0.19,0.02,Low,0
V_1085,Vendor_86,IT Services,1706671,2024-09-22,2025-11-17,1,2,0,97.94,0.64,1.02,Medium,0
V_1086,Vendor_87,Security,2795226,2025-12-17,2028-03-21,2,0,0,100.0,0.25,0.52,Low,0
V_1087,Vendor_88,Logistics,335555,2023-11-11,2024-09-15,1,0,1,100.0,0.3,0.58,Low,0
V_1088,Vendor_89,Logistics,3390216,2024-10-23,2026-05-12,1,2,1,99.75,0.67,1.05,Medium,0
V_1089,Vendor_90,Security,2492266,2024-03-04,2026-03-15,2,0,1,99.23,0.4,0.96,Medium,0
V_1090,Vendor_91,Cloud,129083,2023-09-20,2026-03-27,1,0,0,100.0,0.03,0.25,Low,0
V_1091,Vendor_92,Finance,2828655,2026-01-08,2027-05-03,5,0,0,98.42,0.3,1.52,Medium,0
V_1092,Vendor_93,SaaS,1293131,2023-09-07,2024-03-06,2,1,0,100.0,0.31,0.73,Low,0
V_1093,Vendor_94,Logistics,1493717,2026-01-10,2028-08-20,2,4,0,99.2,0.2,1.44,Medium,0
V_1094,Vendor_95,Logistics,4396664,2024-02-19,2027-01-07,2,1,0,98.47,0.04,0.93,Medium,0
V_1095,Vendor_96,IT Services,2953633,2024-01-27,2026-05-17,1,1,0,100.0,0.35,0.48,Low,0
V_1096,Vendor_97,Cloud,4710061,2024-01-25,2024-12-28,2,2,0,100.0,0.2,0.92,Medium,0
V_1097,Vendor_98,IT Services,3110006,2023-12-26,2025-06-28,1,1,1,96.68,0.46,1.29,Medium,0
V_1098,Vendor_99,SaaS,3021981,2026-01-17,2027-07-25,1,1,0,100.0,0.5,0.5,Low,0
V_1099,Vendor_100,IT Services,1428369,2025-08-09,2026-09-21,0,1,0,97.93,0.21,0.53,Low,0
V_1100,Vendor_101,SaaS,4627033,2023-09-28,2026-08-04,0,1,1,97.89,0.2,0.84,Medium,0
V_1101,Vendor_102,Cloud,1855808,2024-04-27,2026-05-02,2,1,1,100.0,0.25,1.02,Medium,0
V_1102,Vendor_103,Logistics,4461589,2024-09-21,2027-04-15,0,0,0,97.68,0.7,0.42,Low,0
V_1103,Vendor_104,IT Services,4323445,2023-09-20,2024-08-15,0,0,0,99.76,0.49,0.08,Low,0
V_1104,Vendor_105,Security,1728687,2025-01-26,2026-12-23,2,1,0,100.0,0.22,0.72,Low,0
V_1105,Vendor_106,IT Services,3194480,2026-01-18,2026-12-10,4,0,0,99.42,0.43,1.13,Medium,0
V_1106,Vendor_107,Security,2669980,2025-08-13,2027-06-12,0,3,1,98.45,0.57,1.19,Medium,0
V_1107,Vendor_108,Security,1626590,2025-11-15,2026-07-28,2,1,0,97.65,0.22,1.07,Medium,0
V_1108,Vendor_109,Finance,1552025,2023-12-04,2024-06-03,5,0,0,98.78,0.03,1.44,Medium,0
V_1109,Vendor_110,Logistics,2860860,2025-12-29,2027-08-07,2,2,0,99.49,0.09,0.99,Medium,0
V_1110,Vendor_111,Security,798013,2024-07-29,2026-11-24,2,2,0,98.8,0.23,1.1,Medium,0
V_1111,Vendor_112,Cloud,3941113,2024-10-31,2026-02-20,2,1,0,97.0,0.15,1.16,Medium,0
V_1112,Vendor_113,SaaS,4110119,2025-01-06,2027-03-29,3,1,1,100.0,0.21,1.27,Medium,0
V_1113,Vendor_114,Cloud,2393394,2025-10-03,2026-11-12,2,0,0,100.0,0.5,0.55,Low,0
V_1114,Vendor_115,Cloud,2941005,2023-12-11,2025-04-23,0,1,0,100.0,0.37,0.24,Low,0
V_1115,Vendor_116,Finance,3308084,2025-01-31,2027-06-05,0,0,0,100.0,0.19,0.02,Low,0
V_1116,Vendor_117,Security,4127716,2023-12-05,2025-01-17,2,1,0,96.75,0.06,1.19,Medium,0
V_1117,Vendor_118,Security,885036,2025-04-07,2026-08-02,0,1,0,97.9,0.51,0.57,Low,0
V_1118,Vendor_119,Security,3709731,2025-05-16,2026-11-10,1,0,0,96.89,0.3,0.75,Low,0
V_1119,Vendor_120,IT Services,2665804,2024-04-05,2026-12-14,1,0,0,99.13,0.51,0.43,Low,0
V_1120,Vendor_121,Finance,4859109,2025-08-29,2027-02-01,1,1,0,95.77,0.37,1.12,Medium,0
V_1121,Vendor_122,Logistics,4207263,2026-01-12,2027-12-18,0,1,0,99.04,0.28,0.37,Low,0
V_1122,Vendor_123,IT Services,3924910,2023-11-29,2026-09-06,2,1,0,99.3,0.19,0.82,Medium,0
V_1123,Vendor_124,IT Services,3062539,2026-01-07,2028-09-12,0,3,1,96.52,0.62,1.48,Medium,0
V_1124,Vendor_125,Finance,3166810,2024-02-29,2025-05-06,1,1,0,99.42,0.12,0.55,Low,0
V_1125,Vendor_126,Cloud,1669715,2024-05-14,2026-05-15,2,1,0,96.95,0.15,1.17,Medium,0
V_1126,Vendor_127,Finance,4051412,2024-08-27,2025-08-24,1,0,0,98.53,0.16,0.49,Low,0
V_1127,Vendor_128,Security,1420073,2025-05-22,2027-03-25,4,1,1,98.96,0.09,1.67,High,1
V_1128,Vendor_129,Cloud,3486252,2024-11-09,2026-07-03,2,0,0,97.71,0.27,0.87,Medium,0
V_1129,Vendor_130,Security,3973227,2024-02-04,2026-08-30,4,1,0,100.0,0.26,1.23,Medium,0
V_1130,Vendor_131,Logistics,1723879,2026-01-02,2028-04-05,1,4,0,98.32,0.74,1.38,Medium,0
V_1131,Vendor_132,SaaS,2568638,2025-01-16,2026-02-19,2,2,0,98.68,0.18,1.12,Medium,0
V_1132,Vendor_133,IT Services,2950737,2025-01-10,2027-08-28,4,0,1,98.92,0.3,1.49,Medium,0
V_1133,Vendor_134,Cloud,1569603,2024-12-01,2027-05-24,2,2,1,99.45,0.05,1.29,Medium,0
V_1134,Vendor_135,Logistics,501157,2024-03-28,2025-05-16,1,1,0,100.0,0.11,0.46,Low,0
V_1135,Vendor_136,Security,2214412,2025-01-31,2027-06-25,1,0,0,100.0,0.28,0.28,Low,0
V_1136,Vendor_137,IT Services,2590034,2024-10-27,2027-10-11,0,1,0,97.19,0.47,0.67,Low,0
V_1137,Vendor_138,Cloud,1166271,2026-01-06,2027-08-01,1,1,0,96.83,0.09,0.93,Medium,0
V_1138,Vendor_139,IT Services,2671038,2025-01-03,2025-11-10,3,1,0,98.44,0.04,1.19,Medium,0
V_1139,Vendor_140,IT Services,1527852,2024-08-11,2026-07-06,0,1,0,100.0,0.33,0.23,Low,0
V_1140,Vendor_141,Finance,2464802,2024-12-09,2027-04-01,2,2,0,98.17,0.35,1.21,Medium,0
V_1141,Vendor_142,Logistics,2565419,2023-12-18,2025-04-13,4,1,0,98.44,0.59,1.49,Medium,0
V_1142,Vendor_143,SaaS,3512092,2024-05-10,2026-07-23,3,1,1,99.52,0.3,1.35,Medium,0
V_1143,Vendor_144,Security,2399316,2025-01-28,2027-02-28,1,3,0,98.3,0.22,1.13,Medium,0
V_1144,Vendor_145,IT Services,4074733,2025-02-11,2026-03-17,1,2,0,100.0,0.15,0.66,Low,0
V_1145,Vendor_146,Logistics,708003,2023-09-22,2024-11-24,1,0,0,98.77,0.34,0.47,Low,0
V_1146,Vendor_147,Security,3591483,2025-08-30,2027-01-04,2,1,0,99.21,0.32,0.85,Medium,0
V_1147,Vendor_148,Cloud,3727361,2024-04-30,2026-10-04,1,2,0,100.0,0.48,0.7,Low,0
V_1148,Vendor_149,SaaS,1487188,2024-08-23,2025-03-12,3,1,0,100.0,0.34,0.98,Medium,0
V_1149,Vendor_150,IT Services,3881661,2025-06-19,2027-10-01,0,3,0,97.8,0.41,0.97,Medium,0
V_1150,Vendor_151,Finance,3653110,2024-11-09,2027-07-07,4,1,0,100.0,0.35,1.23,Medium,0
V_1151,Vendor_152,SaaS,1498763,2024-10-08,2026-07-03,2,1,1,98.71,0.25,1.22,Medium,0
V_1152,Vendor_153,IT Services,329215,2024-05-10,2026-07-11,2,2,1,99.4,0.37,1.33,Medium,0
V_1153,Vendor_154,Logistics,582726,2024-04-19,2026-12-19,1,0,1,99.64,0.31,0.64,Low,0
V_1154,Vendor_155,Cloud,3074243,2024-09-20,2026-05-26,0,4,0,99.2,0.33,0.95,Medium,0
V_1155,Vendor_156,Cloud,895474,2024-02-27,2026-02-21,1,2,0,98.55,0.16,0.88,Medium,0
V_1156,Vendor_157,IT Services,4402892,2025-04-22,2025-12-23,1,1,0,98.66,0.22,0.67,Low,0
V_1157,Vendor_158,Cloud,493316,2025-03-23,2027-07-04,1,1,1,97.18,0.36,1.21,Medium,0
V_1158,Vendor_159,SaaS,2612605,2024-07-18,2025-06-04,2,1,0,98.67,0.28,0.93,Medium,0
V_1159,Vendor_160,Cloud,1890083,2025-07-30,2026-12-18,2,1,0,98.61,0.23,0.93,Medium,0
V_1160,Vendor_161,Cloud,2993295,2024-03-17,2025-09-23,2,0,0,98.02,0.32,0.83,Medium,0
V_1161,Vendor_162,Security,1173389,2024-11-13,2027-03-12,1,2,0,100.0,0.43,0.69,Low,0
V_1162,Vendor_163,Cloud,1054001,2024-01-22,2025-11-11,2,0,0,99.77,0.28,0.56,Low,0
V_1163,Vendor_164,IT Services,4060162,2025-09-09,2028-06-07,1,1,0,97.33,0.23,0.87,Medium,0
V_1164,Vendor_165,Finance,2711637,2025-06-19,2027-10-11,0,0,0,98.71,0.48,0.24,Low,0
V_1165,Vendor_166,Finance,919807,2024-01-01,2026-10-28,0,1,0,95.11,0.29,0.96,Medium,0
V_1166,Vendor_167,Finance,1392057,2025-01-21,2027-10-19,2,1,0,100.0,0.31,0.73,Low,0
V_1167,Vendor_168,IT Services,3764379,2024-06-14,2026-03-11,1,1,0,98.02,0.33,0.78,Low,0
V_1168,Vendor_169,SaaS,4458285,2024-03-17,2026-06-13,1,1,1,96.49,0.07,1.28,Medium,0
V_1169,Vendor_170,Logistics,4500252,2025-04-28,2028-04-21,5,1,0,97.4,0.08,1.85,High,1
V_1170,Vendor_171,SaaS,258944,2025-09-14,2026-10-21,2,1,0,99.12,0.27,0.86,Medium,0
V_1171,Vendor_172,Logistics,653291,2025-07-31,2028-05-22,1,1,0,99.7,0.28,0.52,Low,0
V_1172,Vendor_173,IT Services,3665652,2026-01-12,2027-01-22,0,2,0,100.0,0.12,0.41,Low,0
V_1173,Vendor_174,Finance,3815056,2025-12-19,2027-07-09,0,1,1,99.17,0.11,0.64,Low,0
V_1174,Vendor_175,Logistics,426794,2025-05-30,2027-06-11,0,1,0,98.86,0.2,0.39,Low,0
V_1175,Vendor_176,Security,900350,2024-04-21,2026-03-01,0,3,0,99.55,0.24,0.69,Low,0
V_1176,Vendor_177,SaaS,176060,2024-07-05,2027-02-01,0,0,0,99.09,0.47,0.18,Low,0
V_1177,Vendor_178,SaaS,2698202,2024-11-10,2026-09-29,4,0,0,99.36,0.31,1.13,Medium,0
V_1178,Vendor_179,Logistics,838140,2024-07-09,2025-05-24,0,2,0,98.21,0.26,0.69,Low,0
V_1179,Vendor_180,IT Services,1193647,2024-06-16,2026-11-07,1,0,0,99.98,0.63,0.32,Low,0
V_1180,Vendor_181,Logistics,1212189,2024-01-19,2024-10-06,2,3,0,96.92,0.55,1.62,High,1
V_1181,Vendor_182,Finance,231948,2025-04-07,2027-09-23,2,2,0,97.73,0.13,1.25,Medium,0
V_1182,Vendor_183,Finance,4563070,2025-08-09,2026-02-23,0,1,0,98.81,0.2,0.4,Low,0
V_1183,Vendor_184,Cloud,2168433,2024-12-31,2026-03-15,1,0,0,99.22,0.04,0.37,Low,0
V_1184,Vendor_185,SaaS,237771,2024-04-03,2025-09-22,0,0,0,97.5,0.11,0.39,Low,0
V_1185,Vendor_186,Security,1913462,2025-03-04,2028-02-29,3,1,1,98.71,0.27,1.47,Medium,0
V_1186,Vendor_187,IT Services,1245885,2025-11-27,2027-07-07,1,0,1,98.26,0.09,0.82,Medium,0
V_1187,Vendor_188,SaaS,4424142,2025-11-05,2028-09-22,2,1,0,98.51,0.38,0.96,Medium,0
V_1188,Vendor_189,Cloud,4446650,2024-03-31,2025-02-10,2,2,0,100.0,0.13,0.91,Medium,0
V_1189,Vendor_190,SaaS,1956862,2025-12-27,2028-06-18,6,0,0,98.34,0.28,1.78,High,1
V_1190,Vendor_191,SaaS,2938939,2024-10-21,2025-05-01,3,1,1,99.9,0.5,1.31,Medium,0
V_1191,Vendor_192,IT Services,1408097,2026-01-16,2026-08-11,1,1,0,100.0,0.45,0.5,Low,0
V_1192,Vendor_193,Security,856564,2025-10-09,2028-06-06,3,1,1,99.15,0.52,1.43,Medium,0
V_1193,Vendor_194,SaaS,2585232,2023-09-20,2024-07-14,4,0,0,98.64,0.28,1.23,Medium,0
V_1194,Vendor_195,Finance,1497947,2024-08-09,2027-01-25,1,2,1,100.0,0.3,0.98,Medium,0
V_1195,Vendor_196,IT Services,4421047,2025-07-08,2027-05-07,3,3,0,100.0,0.55,1.4,Medium,0
V_1196,Vendor_197,SaaS,358617,2024-08-30,2025-12-23,2,1,0,99.94,0.56,0.77,Low,0
V_1197,Vendor_198,Finance,2813545,2023-12-28,2026-11-23,0,1,0,99.06,0.19,0.36,Low,0
V_1198,Vendor_199,Finance,4026765,2024-05-31,2026-02-15,2,0,0,99.01,0.09,0.66,Low,0
V_1199,Vendor_200,Logistics,797852,2025-11-30,2027-11-02,2,1,0,99.05,0.28,0.87,Medium,0
V_1200,Vendor_201,Finance,3095529,2024-12-25,2026-03-09,2,1,1,98.88,0.22,1.19,Medium,0
V_1201,Vendor_202,IT Services,2561910,2024-06-05,2025-06-06,6,2,1,99.09,0.13,2.35,High,1
V_1202,Vendor_203,IT Services,1444316,2025-07-30,2026-02-04,1,3,0,97.77,0.15,1.2,Medium,0
V_1203,Vendor_204,Logistics,725673,2024-02-01,2024-08-15,1,1,0,97.93,0.18,0.78,Low,0
V_1204,Vendor_205,Cloud,817876,2025-07-10,2027-02-10,0,1,0,97.57,0.2,0.58,Low,0
V_1205,Vendor_206,Logistics,1834006,2025-03-22,2026-08-10,3,2,0,100.0,0.13,1.16,Medium,0
V_1206,Vendor_207,Logistics,4607220,2024-02-12,2025-08-11,3,2,1,100.0,0.05,1.45,Medium,0
V_1207,Vendor_208,Finance,3364344,2023-10-17,2025-09-04,1,0,1,97.9,0.1,0.87,Medium,0
V_1208,Vendor_209,Security,3289254,2023-10-16,2025-02-12,2,0,0,97.28,0.11,0.92,Medium,0
V_1209,Vendor_210,Cloud,1470858,2023-11-12,2024-11-27,0,0,0,100.0,0.07,0.01,Low,0
V_1210,Vendor_211,Logistics,4145077,2023-12-28,2026-10-05,1,2,0,98.78,0.14,0.85,Medium,0
V_1211,Vendor_212,Cloud,2209173,2025-05-02,2026-10-03,6,1,0,97.93,0.67,2.08,High,1
V_1212,Vendor_213,Logistics,4839125,2025-08-04,2027-01-04,1,1,1,98.46,0.36,1.02,Medium,0
V_1213,Vendor_214,IT Services,4272102,2024-08-23,2026-03-01,2,0,1,96.98,0.52,1.3,Medium,0
V_1214,Vendor_215,Finance,331696,2024-08-20,2026-09-07,2,0,0,98.35,0.6,0.81,Medium,0
V_1215,Vendor_216,IT Services,4814812,2025-10-27,2028-03-18,1,3,0,98.96,0.21,1.03,Medium,0
V_1216,Vendor_217,Cloud,1605537,2024-10-02,2026-07-11,1,1,0,97.59,0.06,0.82,Medium,0
V_1217,Vendor_218,Finance,572154,2024-11-06,2026-02-23,0,1,0,98.4,0.34,0.47,Low,0
V_1218,Vendor_219,Finance,3885598,2025-04-11,2027-11-24,2,1,0,100.0,0.69,0.77,Low,0
V_1219,Vendor_220,Security,3557447,2023-11-21,2026-10-03,2,0,0,98.51,0.47,0.77,Low,0
V_1220,Vendor_221,Finance,1469920,2023-09-30,2025-04-01,2,0,1,99.39,0.28,0.92,Medium,0
V_1221,Vendor_222,SaaS,3914044,2024-03-10,2024-10-14,0,2,0,96.71,0.23,0.92,Medium,0
V_1222,Vendor_223,Security,4101889,2023-10-12,2025-02-16,2,0,1,98.8,0.02,0.98,Medium,0
V_1223,Vendor_224,Logistics,2112087,2024-02-28,2026-01-01,2,1,0,100.0,0.25,0.72,Low,0
V_1224,Vendor_225,Security,2953609,2025-01-21,2025-11-19,2,2,1,98.28,0.05,1.46,Medium,0
V_1225,Vendor_226,Finance,4205479,2023-10-06,2024-10-26,1,0,0,96.12,0.48,0.88,Medium,0
V_1226,Vendor_227,Logistics,1408126,2024-06-02,2026-07-16,0,0,0,99.15,0.12,0.14,Low,0
V_1227,Vendor_228,Cloud,3188102,2023-09-08,2025-03-29,1,3,0,97.02,0.12,1.31,Medium,0
V_1228,Vendor_229,SaaS,126240,2025-11-04,2027-08-16,1,0,0,95.52,0.13,0.94,Medium,0
V_1229,Vendor_230,Security,2794804,2024-04-13,2026-06-21,1,0,0,95.39,0.27,0.97,Medium,0
V_1230,Vendor_231,Cloud,4159545,2024-07-28,2025-02-03,1,1,0,99.17,0.53,0.63,Low,0
V_1231,Vendor_232,SaaS,4234238,2024-10-27,2026-04-13,3,0,0,96.18,0.29,1.35,Medium,0
V_1232,Vendor_233,Security,4899433,2025-03-20,2026-12-10,0,1,0,100.0,0.18,0.22,Low,0
V_1233,Vendor_234,IT Services,92056,2024-04-27,2027-01-25,4,1,0,100.0,0.16,1.22,Medium,0
V_1234,Vendor_235,Logistics,1543551,2025-07-09,2028-01-10,0,1,0,99.23,0.36,0.35,Low,0
V_1235,Vendor_236,IT Services,4725519,2025-06-12,2027-09-04,0,1,0,94.63,0.41,1.05,Medium,0
V_1236,Vendor_237,Logistics,2109385,2024-09-27,2026-12-04,4,1,0,99.16,0.12,1.34,Medium,0
V_1237,Vendor_238,SaaS,3010883,2024-01-29,2025-07-16,3,0,1,100.0,0.3,1.08,Medium,0
V_1238,Vendor_239,SaaS,2008691,2024-09-16,2026-07-12,2,1,0,97.12,0.24,1.16,Medium,0
